sl,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Y
16,-0.965116762,-0.725226065,2.1284697324351645,,0.838489204,-0.902927178,0.9315730128742441,0.38495096610586316,-0.156637898,,-1.138003615
17,-0.654787695,0.44607220148208054,-0.45498348,-1.225605764,-1.277937574,0.17258791772211948,1.579091256410435,,-0.118638326,,0.47233736520536995
18,,0.21938250136385634,-0.410927231,1.1062887100598888,0.4287564384616135,,,-1.224469032,-1.368159199,1.6509279322312496,0.24973606603076814
19,,,,1.4614442922422022,-1.107045682,-0.894727019,,,-0.005121867,,1.4359584822069775
20,0.33757454879893356,1.4074818613137168,,0.6439387932768579,,-0.048718402,-0.84323027,-1.21881306,-0.878152367,-0.334123441,0.7970788477513533
21,0.9159025423560131,-1.326392718,0.030631492594417446,-0.484169433,-0.327673094,1.0027578253046041,0.5381154370039261,1.3373981074427437,-0.154505679,-0.695942612,0.6706652885289952
22,,,0.17657335845371103,-1.084388072,0.090489782,0.22822833013890514,,1.8768446112816701,,,-0.111308791
23,-1.463442002,-0.590707014,0.3156050035903405,1.2058536208882336,,-0.65414644,-2.14728903,-0.162665921,,-0.529439427,-2.304679093
24,,,-1.757728391,,,-1.287422581,,,2.905067169240407,-1.171566629,0.324573725
25,-0.368248957,0.34155555094050954,1.7286976444055924,-0.986857078,-0.245277846,0.777337576,0.43476607446661863,-0.376156071,-0.133822965,-1.374895808,-0.736728663
26,-0.238173744,-0.26638749,0.23216988962625595,,,1.0127158178198286,0.15542932766846604,0.35175640839920347,0.053155347577867364,8.439309141418043e-05,-0.663463852
27,-0.721558034,0.316494262,-0.097286598,,1.5733549024752425,,-0.76305721,,,0.2627492251471385,-2.154808539
28,0.4801434033916108,-1.744585987,0.9274384815581808,0.45442033821436295,-1.110430684,-0.471524807,0.2637172043565196,0.052466798,,,-1.105775467
29,-0.251977378,0.15256251210246857,1.471491972993157,-2.566658441,-0.236850265,,0.2959939896870995,-0.371914581,,0.32799548371410964,0.34037995418339884
30,1.727350214164185,-1.533861405,0.8638280136981883,-0.328525223,,-1.052898511,,1.3000445946989585,0.582655242,1.732311605409944,1.2810214680609762
31,,,1.743934526167792,0.43899315873829875,0.8279881767970589,,0.066545816,-0.697423823,0.989583935,-1.178303623,1.9964722185082437
32,0.7823503424176613,-0.190651058,,0.7508689887312598,1.8206461576468016,0.7307746911386448,,-0.066953173,,,1.238007099610752
33,1.5112284332767216,0.637533811,,-1.013717366,0.032782093,-1.216560149,,0.31200947155124387,,,3.9177093750207237
34,-2.291289509,0.3043667290302598,0.072033573,0.41389028537269307,,-2.063238277,-0.591103425,0.5909063227933546,,1.475949048053509,-2.886964972
35,0.3683566127006584,0.846583986,-0.570943662,,,,0.23440089269869593,0.2703432392817259,-0.863345265,-0.14752868,-0.827775138
36,-0.152522532,,,-1.058536082,,1.4814555476589732,-0.743588229,-0.822250017,0.20230619183119358,0.8443851904853201,-1.011378596
37,0.011426056,,0.8567939825665268,,,,-0.205161689,-2.003522292,1.604254361517141,-0.457699431,-0.027745485
38,0.10788044434303304,,-1.602259541,-1.251647214,-1.601277937,-0.79413629,,,0.27627417932855375,,-0.21167115
39,-2.310103437,,-0.471776034,0.45938577171661177,,,,0.22921137411506842,0.5300647056014667,-0.704673263,-2.189265796
40,-0.179611414,0.19677609665695725,0.8205284754174188,-0.393741172,,-0.265838792,,,-1.993060371,-1.296472328,1.1714315400540414
41,-1.482185397,-2.33361612,-0.67826444,0.7494338997277404,-0.284884066,0.19779008194185213,1.0892174967107926,1.3276861322676916,-0.069137935,1.3535858895693973,-1.109334384
42,0.092126658,-0.837398224,-0.594400352,-1.480536513,-0.888133854,-0.358016688,,1.7207698311659838,-1.382181515,0.39282746825991893,0.17773604836698254
43,-1.040543939,0.47469708846320197,-0.131086651,-1.830905826,,-0.605000713,-0.533900238,-1.069752411,-0.654283277,0.4278904406949172,1.338076820528082
44,-0.189244341,0.32866200228248105,,1.320661655528167,-0.342786151,-1.476857817,1.067222416571983,-0.331488172,,0.3833771131824704,-0.381286396
45,-0.13113753,0.3487758940462951,1.9510125601262995,,0.069381135,0.1601905933170753,1.0762401574663856,-0.845661033,,,-1.589268625
46,0.3139082114575536,-0.833368806,,-2.072983436,-1.117384113,-0.458675285,-0.293191587,,,,0.9504018763710202
47,,-0.407078236,,0.18532564941538202,0.6191711169753933,-0.339258484,1.0638515327343585,-1.141938226,0.006339062,2.5976737265958323,-1.694425057
48,,1.4332145066061728,,0.5807770953297967,,-0.170407581,-0.779482397,0.4303013589575532,-0.851537189,0.6655852363134291,0.18468397322855723
49,1.085287004,0.36653140723722993,-0.286248734,,-0.308673056,0.9355471254651493,-1.831406084,-0.335607368,,,1.7886649404873212
50,1.3638622298139094,0.895184982,-0.719480233,-1.502503456,-2.964528838,-0.543495508,,0.4348842714636474,-0.559572286,,1.7090732407509714
51,-1.560958353,,,-0.086100652,0.7908061216900806,0.34464522623605237,0.668326018,-0.688372282,0.8978154084105481,1.6289369476239914,-1.900572797
52,-0.97014952,-0.887695656,1.3357843363202329,-0.191343987,1.403821392066557,-0.442535712,1.4550455762707113,0.13148581680545218,0.2582288233226952,1.5647180216699044,-2.59478738
53,,-0.941122096,,0.4523339506431387,-1.565759072,,,,-2.394260305,-0.786565775,-0.843133915
54,-1.686468151,-0.826229466,,,-0.253377569,-0.159184871,0.20338824061994343,-1.008536042,,0.6626659703854839,-1.095920396
55,0.385037938,0.5565334427512632,,2.0350733027310675,-0.087094171,-0.307083218,-0.75352758,,-1.244471788,-0.888797313,0.6832725755677516
56,,0.3342951284977145,0.051142058552161786,-0.765535277,,0.7394126723009475,,-0.652916145,,0.18797358748610446,-0.733758697
57,-1.448127259,-0.067980256,0.26203581207438104,-0.899694786,0.189843393,-1.454822485,,1.2479499850594318,-0.252517334,0.36345433783907316,-2.729655848
58,-2.409921966,-1.15634766,,-1.072133021,,1.997296530747994,-1.176614719,,,,-3.797690379
59,-1.222374313,,,-1.651759148,-1.281069207,-0.423606606,,0.8126012877536446,,-1.77496206,-0.705522499
60,0.5154104029008109,,,-0.627587536,-0.636615283,0.5411316108045314,0.7629264823369366,0.4480993639362036,-1.685597317,0.5380344399282511,0.5702432215826957
61,-1.034308052,,-1.423734435,0.44632214754306365,-0.806598904,,0.7138201364823995,0.2416445216767513,-0.613976801,1.4511788490210642,-1.717177096
62,-0.440652422,,0.2689134476786009,,,-0.533452347,,1.362642639803341,-1.040586053,-2.412780331,-2.635358007
63,,,-0.405269265,-1.936838041,-0.310483976,,-0.189923841,-1.113388042,0.5795611424764774,0.5245073752860862,3.3056137349875607
64,-1.49440562,,2.052684981945891,0.17196033243705985,-0.337325162,-0.142003214,0.6152567669685612,-1.730671606,,-0.390463949,-2.042514653
65,1.8478250129560454,-0.174172734,1.6678876111195198,,,0.3194002637912288,-0.869047248,,1.2125188368316004,,2.4498011250688503
66,,,,,,-1.705652216,-1.615658339,0.48206683552552526,,-2.564744342,-2.456853705
67,0.7848440366081351,,,-1.316830211,0.8358078963143372,,,,,-0.16692793,-0.066871539
68,0.816775867,0.6250852012481537,1.251725008565195,,-0.435407473,,,1.498374440296732,-0.458840493,-0.424773728,1.282490375084452
69,0.3140772238697992,,0.952053653,,-0.826705047,-0.782416334,-2.320356012,,-0.915156116,,2.548895703889717
70,1.1129658916602636,-0.245060651,-1.03081372,-0.056954541,1.0491736214413494,-0.975958816,,0.5585489592742234,-0.221536116,,1.7394655571814857
71,,0.701663648,-1.035078114,,,-1.215890924,,,-0.350952382,-1.022280282,0.47340433145533856
72,,1.1280188573493026,-2.280737845,,-0.922886442,1.461178866720329,0.2825869829192965,0.7673172404612268,-1.140160919,-1.119535875,0.8266820281322873
73,,,0.5487388188641266,,,0.15811908490510918,,,-1.619871994,,-1.274164979
74,,1.1877250932619365,-1.02062302,,,,1.7975945224343146,0.516297572,,-0.893130622,0.4732675735299192
75,,,,2.0487556508632867,1.785168402072131,,-0.920850398,,0.6396264094979018,0.44254562420405297,-2.649109925
76,1.2496652670437771,0.6353711428612774,0.7400142363043355,0.6369062833722101,0.3407914080021059,-1.78361113,0.083621077,-0.556191959,-1.279840958,,3.2972247330510385
77,1.7289953408857035,1.359220600295612,0.2552134168558746,1.3506251209526567,0.012053180601825543,0.20279727689777938,-1.09347137,0.396991304,0.060385928,-1.302652117,3.935991670189258
78,-0.051197112,-0.079729564,,0.8942133285134095,0.011445439091466015,,,-0.202913985,-1.082427197,,0.3017566324699087
79,-0.746098257,-1.250315539,,0.39126465993323495,,-0.122684637,0.9957013858999235,,1.0258368428852387,0.038913207,-1.236140923
80,,-1.083698827,,,1.2873311116050654,1.0999796503420836,-0.132228657,-1.244205879,-0.319106597,0.21723119481052466,-2.938484744
81,-0.202083245,,,-0.503957741,-0.628066084,0.31145283430343956,,,0.2732040228521227,-1.139429001,-0.71033026
82,,1.4377769399164624,,-2.116654449,,,0.030917278,-0.117610855,1.2141898289285016,-2.672834433,2.0300392244967114
83,0.3959338744308236,1.5614382018035733,,-0.379806512,-0.752891917,-0.894346046,,1.4274852836845047,1.8373866754875203,-0.335939225,1.3080689735283246
84,1.9050602140644701,,1.753691026701081,-0.09329865,0.1310578260461443,,,0.8512855748447891,-0.70726453,0.9689978702758579,1.3582019863448864
85,-0.361832537,,0.9086013598921112,,0.2785759145118061,0.013985221865292462,0.3365831266054347,0.4249658974361492,-1.936966933,0.6665726686095336,-2.364778289
86,,,-0.058411244,0.083981003,,0.8310318576679744,-1.342175166,-0.406943749,,-0.04658727,-0.32286326
87,0.2788642846472388,-1.00789295,0.7242826774562282,0.063002368,-1.891946253,-1.95859144,,,-0.103420114,,-0.295165991
88,0.22555983951018072,,-1.111104901,-1.171971593,-1.093323858,,,-0.431339438,-2.501699844,,-1.057349209
89,,-0.557728887,-0.408388627,,,,-0.676017306,,,-1.53564207,-2.036166849
90,0.3896917053200022,0.10255318372626686,-0.14744249,1.5882761071492624,-0.622207445,2.0602981705240784,-0.225431449,-1.277016445,,-1.0762452,-0.83656972
91,,0.39703330001549114,0.5555820886501248,-0.6221677,0.9874051450464006,,1.436301756563291,0.5294134071257222,1.3634287120856987,-1.880798428,-0.684982724
92,,-0.867005256,0.11922586112739209,,-0.166157842,1.8821748802040494,,0.4137923171902139,,,-0.544070207
93,0.00601668,,1.165307535547177,1.6473939976033294,,0.5895468860356021,-1.150864509,-0.087876742,0.940289465,,-0.273038351
94,,0.8863939595679524,0.49076670899381886,1.2003062582593216,0.2893591569571111,,0.33584125693302364,,,,1.4318533090659082
95,-1.723463407,0.45176860094098414,,,,1.370540988614132,-0.484030132,,,0.4080361768812668,-1.418776866
96,1.6168743984986076,0.13102711619341956,,-0.109727452,-0.035610736,-1.364741652,-0.255832071,,,0.034611874,2.744700341867447
97,,-0.106181931,0.22312201840616613,,-0.999712229,-1.041587633,1.104679215,,-1.416842093,,-0.693080793
98,,-1.530715257,,0.7355830924283736,,0.6319814837613953,-1.404269098,,-0.302619759,-0.482790159,2.7433377694154792
99,0.8705556094197265,,,,-0.109734182,,0.7668228717842437,0.12117794929946196,0.13076418791154437,,1.0457041412828838
100,-0.059282646,-0.729286936,,,0.002993291,,,-0.374841463,0.7562481636298061,,-1.327256106
101,-1.234813087,,-0.500744744,-1.655095343,-1.04504371,-1.021045161,,,-0.336831968,0.6197019654824789,-1.539961241
102,0.3398753611927038,0.31604787064428624,0.40982845732869266,0.6161346680022383,-2.107953342,-0.364438252,,0.036059927,,,0.2869585699605416
103,1.1876343927211208,0.20277504825236733,-0.500361077,0.48516111254573785,-0.527917637,,0.9861363169607678,,,,-0.430514174
104,-0.954791817,0.973894128,,0.10192588737265744,-0.762323458,,,0.542594463,-0.955625167,0.4375122486198699,-0.173281909
105,,-0.204068584,,2.4451301450589167,-1.377315656,1.4720145664901334,0.14984241398728004,0.41117191801596314,,,-3.249093591
106,-0.153685104,1.4540501814574582,,1.1322345721792477,-0.64436712,-0.060251846,,0.4550237203475199,1.4451259569265338,,0.7350109104239425
107,-0.196885699,-1.114616963,-0.229292654,-1.59279426,-0.912877987,0.22678604610913541,1.3190131977413961,,-0.586585085,1.435300157,-2.105445924
108,0.2437524804016479,,0.4325944517261522,0.061916484,,,-1.39810966,,0.653244883,-0.27670009,-0.21316475
109,,0.008505627,,0.1803639430263982,-0.656054937,,1.579185502981632,0.4945566553228533,0.9736635113440901,1.241959996813811,0.012704312837769516
110,1.1300993164045137,,0.5983470470748828,0.5196605733465026,,0.7007231568595857,-1.355813971,,1.3035650678080875,,3.741186588837179
111,,,,-0.240437197,0.1020312972405742,0.078988716,1.1336804787567016,-0.361270425,0.35203447180292424,,0.27356057706105963
112,0.450317278,,-0.749813338,,-0.184175747,-0.270155129,1.7713412422676835,,-0.24389611,-2.097450958,0.30155410371023955
113,,-0.263073424,-0.685852676,,-0.164937775,1.2884442493182524,0.061704634050368024,,-0.088796448,0.003796252,-1.749502739
114,,,-2.001545744,-0.543170831,0.014527881937568883,0.6901044247640123,0.4730871980274752,-0.384245913,1.0190436932417624,,-0.310880683
115,0.18405783127156553,,,,0.6978168390000047,,0.001339847,1.4729535721895743,-2.450872129,-1.41768417,-0.049586712
116,-1.187070426,-0.363260648,-0.25460817,-1.507325648,,,2.457424092075892,1.8017419477471466,-0.411749418,-0.36358329,-0.544634275
117,-1.149203997,-1.908130413,-0.116880186,-0.997851983,-0.084850532,,-0.761974458,0.14862709530283086,0.3662095977839374,0.41747195874201454,-2.591325068
118,,0.8546857301355617,-0.800211697,0.6328579146073064,-0.010638677,-1.376387499,-0.316197705,0.3653637420637676,0.61296538,-0.140987897,1.3561665791815987
119,1.5317788906010528,1.007510770986559,-0.256654116,0.7501218121369445,,1.960484600783027,-1.227999881,,,-1.058281051,2.4515135319890664
120,,-0.486194131,0.42022670947458574,-0.102396707,,-0.674212462,-0.712337064,,2.2816328772760617,0.2975110711855549,-2.57564886
121,0.8867590544047386,-0.489077468,,-0.713553981,-2.651708335,-1.378009277,-1.81061868,-2.249783778,-1.195358974,,0.27551513820019946
122,-0.044436168,1.290563762321174,,,-0.900896995,,0.7287142340743459,-0.576647292,0.5595403706161663,0.5661877585748329,-0.201001277
123,-0.549552621,-1.122768432,-1.184128332,,,-0.79252583,,0.5705370361384854,,1.5518801201224885,-0.310868184
124,1.2769808321980434,,1.6835862095380225,-0.530976505,1.0448728124544275,,,,-0.17156451,-1.559383235,-0.862444541
125,,,,0.30197074251927114,-0.725391522,,0.7744947038653713,-0.038538262,1.7396480419310116,-0.482232479,0.38474418397658616
126,0.9993363324744892,0.097413413,0.7957780097442332,-0.447157657,,-0.115498879,-0.836057115,0.6620815345817527,0.6502490055783642,,0.4564969202042387
127,,1.4493448012363035,-0.37494469,0.37305231843417824,-0.623600689,0.023355316114555456,-0.599749449,1.620070309136051,0.3636981503429628,-0.218029128,2.944584847674122
128,1.193618571856377,-2.17061541,-2.014102595,,,0.25044630026076065,-1.326396103,-0.023233711,2.003509410401342,0.8241996197958629,1.3413711417814436
129,0.1697065451428121,,-0.394572852,-2.129197889,0.2576404209211606,0.8454831084818539,-1.575619327,,-1.157464632,-0.965351195,1.3307217808631866
130,0.053481627,-2.084402155,0.614270438,,-0.251102588,-2.48070851,,1.2329019341026966,,-0.347523412,-0.458917931
131,-1.180000778,0.8045703015848366,-0.675113952,0.40395402073561154,0.5654604191690931,1.83622584,-0.202941944,0.37604436962261134,-1.485055479,,-0.860605164
132,-0.760508848,,,-1.562884345,0.228770029,0.9674662729250108,,-1.588897564,-0.123809294,0.7420289029794906,-0.246260118
133,-1.877988766,,,0.27009543419728654,,,0.4685527785062026,,,-0.213804558,-3.55987239
134,-0.797882764,0.4277963982471327,0.4389910293888949,-0.526715392,-1.03239702,,0.3268434703880229,-0.732285381,0.9159303022795986,-0.109145152,-2.428641787
135,-0.252881446,0.5622728719144933,,0.3526272039171724,1.9129548077317522,0.46617766219731077,,-0.50710528,-0.410339973,,0.46489256732590434
136,-0.377806533,0.9163114410745667,,,,0.37694778569537224,-1.12698791,1.328631066849436,,0.9595905257500736,-0.925329229
137,,,0.4048550876357089,,-0.024297384,0.3645344890332625,0.5560752738231508,0.17726136694885572,0.2912314168473797,,-1.165500972
138,1.2260339099106798,-2.867054954,,-0.164651028,-1.752098573,0.094183058,,-1.08656786,0.3364009386898723,-0.915823477,-0.087866551
139,-0.671912024,1.477393634170035,,0.46221248901062467,,1.8623175613948801,0.602652446,-0.182499843,0.5755465099998948,-1.409819429,0.31490435258363725
140,1.1825307417526572,-0.323984775,-0.204069515,-0.491655615,-0.580651403,0.6946706116284086,0.25590685010422287,0.6517481414030399,-0.008794689,0.513199811,1.9583298925294943
141,,2.2297318414095484,-1.567930416,1.2609373235629844,1.3679074507209708,-0.852158806,2.2292736105559734,,0.9711390068229115,,1.5280923650714673
142,,-0.209408827,0.3905305963195172,1.4011862750338961,0.1813142178614196,-0.911443623,,,0.6546595284477861,,-0.126930505
143,-0.27092813,-0.928989167,,-1.635463248,0.23694861154594976,-0.083448783,-0.439987705,-2.955618824,-1.24731747,,-1.177437994
144,,0.3605916776568414,-1.39068543,1.4387054823592311,-0.14402766,,2.325779791881685,1.5164401005894037,-0.306565621,-0.593220185,-0.376568073
145,-0.325545012,0.5098982484765356,-0.105224134,,1.4671812507090423,,2.2995890930373193,,1.7853183942247275,0.3573194227106268,-0.666806304
146,0.9629605732494478,-0.724611052,-0.853759223,0.4597059550149875,,0.040256502000462865,-1.286393335,-1.360258366,-1.427136402,-1.767622113,0.4042261254844147
147,0.10948535944708751,1.1250439217080253,,-2.260414757,-0.19076046,-0.162798997,2.0959987502254394,,-0.390677603,1.7058526805445642,3.2901807438815136
148,,0.5633130735164247,,0.32994353865726456,,-0.809486319,0.8780585789081998,-1.373003017,0.3283679728315381,0.17874096328632716,0.9138245789883008
149,,-0.022685275,-0.622540153,,-0.353614742,,0.3227974640932481,-1.150085494,0.7119770229910514,,-0.177390709
150,,-0.624603408,,,-0.211733803,0.4987194410697233,-2.107192347,-0.04313359,,,-1.584077269
151,0.067913169,0.5481283796421961,0.8956052433143455,,-1.682326482,0.21029129108614655,,1.3120252622199142,-0.31517439,-1.934530736,1.3620507754203015
152,-1.268013917,-2.74967602,,-0.188384127,-0.42446271,1.0788790390297387,,,-2.134693667,0.6172815804922585,-1.882579504
153,0.5553602285085755,0.30939157,0.9814797493081158,,2.008755386185139,-0.959427753,0.7492229272008546,,,,1.477408568242133
154,-0.260899823,0.8399226051327979,0.2369553887192461,-0.104958156,,-0.236658825,-1.780738108,-0.803240092,0.5511917287016942,0.39550910636250813,0.37395272631901233
155,-1.56705825,-0.724342519,-0.581721349,-0.365469594,-1.375913589,-0.628371108,,,0.8091213109902438,-0.145810458,-0.895039414
156,-0.392039796,,-0.816575107,-1.146832082,-0.940221209,-0.634813164,-1.1634738,0.16205955906287475,0.7297156737837084,-1.587098301,0.9496075567835585
157,0.025128711,-0.219935795,,-0.012938768,-1.45359928,-1.262389299,,1.0287809197455093,-2.214187371,,0.19825973293216065
158,1.1896220052876432,,0.5502024960264408,,,-1.620913518,-2.344343308,,-0.984994928,-0.455527845,0.998496708
159,-1.386442253,,-0.1738377,-0.729577194,0.37797099799469847,0.4525384189795919,0.32084964632460716,0.2386007909284437,1.5777682049318862,-1.067593769,-1.196856115
160,,,1.2645398093380364,-1.421763649,,1.3581210958672605,0.5080791051990653,,-0.217684693,-0.383800926,-0.392715263
161,0.2882190630903242,-0.252374125,-0.042578621,0.078598706,-0.678071528,0.5321293738814383,2.9142446484154196,-1.776986639,0.3240125241899799,-0.760190089,-0.55592828
162,,,0.7618547740424635,1.1755065765087795,,1.1320522884141782,,1.5904522979160232,0.3750621518923401,,0.547380971
163,,,0.14593829414477413,,0.2830685880099896,1.0845151609299661,-1.765220315,0.9738190717173091,0.00828191,-0.203781861,-3.376617754
164,-1.471115234,,,0.6483940112387127,-1.492105835,,-0.119168837,,,-0.694138561,-0.391995627
165,-0.506602696,1.2728827687546636,0.5362969691808936,,-0.23644642,,0.388474201,-1.759815708,0.7517964658354561,0.12862159249126584,-0.833075199
166,,-1.100135554,-0.102662091,,1.1913896402914144,,,0.001999356,0.2819558673941572,-0.698680436,1.3653930012100126
167,,-1.598052375,,0.45002067342183205,,,0.9885318628514624,0.3645250379928023,-0.726015098,-0.280600447,-1.101626186
168,-1.500669403,-1.025410128,-0.537811346,1.2284208122801512,-0.639503391,,,0.24794756085187486,-0.141395502,,-1.974087645
169,,-1.57252825,-1.381949031,-0.531877494,-1.249059971,0.4102120156795513,,2.3746065500264315,,,-1.66472874
170,,-0.49340134,0.14141947334054417,-2.325371375,0.23682611678802748,,,0.2598078568055095,1.0249216931253993,-0.1639535,-1.442024741
171,-0.580960189,,,-0.11316841,-1.012683851,0.12659671027769356,,-0.528426131,0.6062911561087082,-1.338382411,-1.778456023
172,1.0473152860737585,-1.397686163,-0.662701408,1.9229461940665773,1.1273547616424222,0.097603992,-0.940530216,-0.529272307,,0.037523232,-0.098558753
173,-0.09087093,-0.030832514,-0.21437511,,,,,-0.189555512,-0.819753929,0.11135042939811132,-0.879481644
174,-0.388633181,1.477393664974669,0.5065831541902538,-1.311803166,0.6712280116136986,-0.774651856,-0.576996371,0.3138190201071218,-0.49174742,0.8928558163229553,1.4315375757761182
175,-0.774510062,,-0.656370894,,1.099191555547813,0.6287962936103031,,,-1.030717032,0.070419127,-3.18838904
176,,,,-1.057154874,-1.051887273,-0.144284379,-1.216718418,0.8421269591376328,-0.917753537,2.809568970096392,-1.77071844
177,-0.451384451,0.072017642,,1.7060917581276394,1.1195006808029162,0.29691587073611253,,0.21066687772462028,,1.4623552634733608,-0.884275102
178,0.8091947318531727,0.095439038,,-0.983415979,0.6877611315998724,,1.1091698114921316,,,,1.2757057378235275
179,-1.658335566,-0.007904515,0.27384239830845625,-0.300764585,-1.852161855,-0.32569811,,-0.148072405,,-0.443012153,-3.11658062
180,,0.4424546049697111,,-0.409648928,0.092354038,-1.920915926,,,,0.960734308,-0.318264321
181,-1.95281553,-1.97383387,0.27380384532351953,,0.17017694319193222,,0.6643536742399312,,,-0.260828458,-3.042092199
182,,,1.2217286662175928,,,0.6737943936677578,0.8605297079614455,1.5588162477990857,-0.876109924,-0.226454585,-0.652997673
183,,0.057410071,-1.117327602,0.414616285,0.5786616338151667,,0.21958492717994416,-0.258705902,,,1.108162053657958
184,,,0.8789540277008926,,-1.31029675,-2.037728508,0.032695225,,-0.38455011,0.66137819,-1.765316217
185,-0.641542721,0.23128202274336457,-0.299337908,0.6721143150964368,0.4751280673480088,-0.691933696,,1.0437433977204944,0.39337687,,-1.013378428
186,0.6556180611713827,-1.084610622,,1.024098839841025,0.2898854759184008,,,,,,0.9993641026139546
187,0.8719343665194511,-0.561806544,-0.61619274,-1.194365481,-1.064472746,,0.7298287890155296,,1.4253289434703056,-1.626084489,-0.609743771
188,0.724854672,1.4221063499235564,,0.10144743065004946,,0.2667361679766415,,0.19963501791151453,-1.561202922,0.5428582244775959,1.3572635781456075
189,1.0245126754266898,,-1.136922581,-2.156023043,,-0.581593934,,,-0.449970382,-1.075735959,0.6238022920428303
190,-0.554572406,1.0713045389296156,0.6029369437552222,-0.130026061,0.6191050184648526,-1.160911956,,0.14732233048647056,,0.43545833595741784,-0.404703196
191,-0.780433455,0.5098207077761179,0.5518587715312919,,1.1903057035101177,-3.047632565,-0.616049026,1.025348034257755,-0.317286725,,2.1702286820425227
192,,1.0269057463206197,-1.921504531,1.1289911009620173,,-1.19239533,,-1.017224341,,0.7324278097628383,-0.993015648
193,-1.719161134,-0.403592119,,1.2935099684593703,,,-0.03329474,-1.161934406,-0.677274184,,-1.471192034
194,,0.09482686,-1.227915551,,-0.379676471,-1.802856196,-0.752160868,-0.909102889,-0.871216072,2.0009631015901537,-1.993506092
195,,0.24537100899533215,,,0.21530262994151197,-1.024528913,0.9080628435179854,-1.202696586,-0.286366136,-0.58605164,0.7068450636666411
196,,-0.640490072,-0.270893627,-0.236130092,-0.734387757,0.48509386849711267,0.23838837483742528,-0.088613945,-0.430458333,0.796544031,0.7148632203061382
197,-0.235834244,-0.306697288,0.10469002988812601,1.6965866829708507,,0.7698568930553547,-1.893171161,0.21727315822862395,1.5750828276087308,0.48866852446730713,-0.977146924
198,,,0.0310472,-0.252062815,-0.785976608,,,-0.767217069,-0.806281821,-1.360243438,-0.164301471
199,0.3907250260888961,0.5453232619670604,,0.9651704927286658,0.087867637,,0.30383742563756283,-0.091540019,,2.214152615791911,-0.231893113
200,-0.45195098,-0.665877711,0.43400982345010697,0.25185441529500513,-1.404791548,1.1226782545637386,-0.094194575,-1.110931095,1.188784114353874,0.625675572,-1.929293647
201,-1.264541992,,0.6587973683661927,-0.010196116,1.5902188056217794,,-0.028083075,,0.5818504393070786,0.4766029673239799,0.6608448606811544
202,0.014680139889711287,,,,,,0.5651533788097695,-2.601888315,,-0.478083058,-0.934313983
203,1.3082466068799101,-0.493468209,0.659484214,-0.396913841,0.11374815348614345,0.7368365309200512,-0.462555716,0.996554884,,,-1.352099826
204,0.9226397227878528,0.6600374917903349,,-0.763439317,,-0.994335108,0.660442567,0.4979229342693786,0.10225665964741577,-1.122957049,3.018014625176643
205,0.7668672933290608,-1.224704778,,,0.3664511465715505,0.5831081356577431,,,-0.602719363,-1.092895241,-0.647580419
206,,,0.272862518,,,-0.172871082,0.9645506822393334,,0.5306939380247327,-0.196004298,-0.832197649
207,-0.342152891,-1.406914166,,,,-1.286130037,-0.034474865,0.053752562990502024,-2.156008006,-0.915124659,0.5952965319613366
208,0.4072638937354685,0.3870587293957439,-1.153674916,0.15844805049973495,,,,-0.467976313,,,0.45905116424570047
