,Marital status,Application mode,Application order,Course,Daytime_evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
20,1,,3,171,1,1,,,1,,9,8,120.3,0,0,0,1,,1,21,0,0,0,0,0,0,0,0,0,0,0,,0,11.1,0.6,2.02
22,1,1,4,9500,1,1,142,,,19,1,1,125.5,1,0,0,,,0,18,0,,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,,
23,1,1,4,9670,1,1,125,,1,38,4,7,114.9,1,0,0,,0,1,,0,0,6,8,,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02
24,1,,1,,1,1,126,1,19,19,3,7,123.9,0,0,0,1,0,0,19,0,0,7,,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,
26,,17,2,9238,1,1,115,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92
28,1,1,1,9147,1,1,135,1,19,1,9,9,122.1,1,0,0,1,0,,20,,0,,6,5,12,0,0,5,6,5,12.33333333,,16.2,,-0.92
31,1,51,,9070,1,1,125,,42,3,125,124,130,1,,0,1,1,0,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51
33,1,18,1,8014,0,1,138,1,19,1,9,5,134.5,1,0,0,1,0,,19,0,,6,6,6,12.66666667,0,,6,8,6,14.375,0,12.4,0.5,1.79
34,1,1,1,9991,0,1,130,1,2,37,3,9,131.4,0,0,0,1,,0,34,,0,5,6,5,12.4,,0,5,9,5,13.42857143,0,13.9,-0.3,0.79
35,1,39,1,33,1,1,130,,38,37,9,,,,0,1,0,1,0,37,0,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51
36,1,39,1,9119,1,10,133.1,,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0,0,0,5,0,0,0,0,7.6,,
37,1,43,,9147,1,1,140,1,37,37,6,6,122.9,0,0,0,1,0,,55,0,0,5,10,1,10,,0,5,8,2,12,2,16.2,0.3,-0.92
38,4,39,1,9991,0,1,120,1,19,,9,3,113.9,1,,0,1,0,0,39,0,,5,,,11,,0,5,5,5,11.6,0,,,0.32
39,1,44,1,9130,1,39,120,6,4,4,3,6,120,,0,,0,0,0,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79
40,1,,5,9773,1,1,126,1,3,3,2,2,121.1,0,0,,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7
41,1,1,2,9147,1,1,133,1,3,19,2,7,120.4,1,0,0,1,,0,,0,0,,,,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51
42,1,,6,,1,1,103,1,1,3,,2,100.6,1,1,0,1,,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,
43,1,17,1,9773,,1,120,1,1,38,5,5,121.4,0,0,0,0,0,,,0,0,6,7,4,13,0,0,6,7,5,13.8,0,,0.5,1.79
44,1,,1,9991,0,1,133.1,,,,9,,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0,,0,5,0,0,0,0,16.2,0.3,-0.92
46,1,17,2,9238,1,1,130,1,19,19,9,9,127.6,1,0,0,1,,0,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,,11.1,,2.02
47,1,17,6,9500,1,1,132,1,37,19,7,7,132.4,1,0,0,1,0,1,,0,,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02
48,1,44,1,8014,0,39,130,1,1,19,,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,,0,,0.5,1.79
49,1,1,,,1,1,139,1,37,38,9,9,126.1,0,0,0,1,,1,19,0,0,6,7,5,12.33333333,,0,6,7,6,,0,12.7,3.7,-1.7
50,1,39,1,9254,1,1,130,1,19,38,9,7,,0,0,,1,0,1,24,0,0,6,6,6,13.66666667,0,,,6,,14.16666667,0,12.4,0.5,1.79
53,1,1,,9130,1,1,167,1,37,37,,90,159.3,0,0,,1,,0,19,0,,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32
54,,39,1,,0,1,130,1,38,38,9,9,120,0,0,0,1,0,0,27,,0,5,12,5,10.6,,0,5,10,5,11,0,9.4,-0.8,-3.12
55,,1,1,9500,1,1,130,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,,7,9,7,13.04444444,0,0,8,10,,13.595,0,15.5,2.8,-4.06
56,2,7,1,9254,1,3,130,1,1,3,4,3,130,0,0,0,,0,0,39,0,0,6,10,0,0,0,0,6,6,,0,0,,0.5,1.79
57,1,39,1,9130,1,40,129,1,3,3,2,2,155.3,1,0,0,1,0,,27,0,0,6,9,5,13,0,5,,13,10,12.9,,12.4,,1.79
58,1,17,1,9500,,1,141,1,38,38,7,,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12
60,1,1,2,9500,1,1,125,,,19,9,9,114.9,0,0,0,1,0,0,18,0,0,7,,6,13.13333333,0,,8,,,12.22142857,,16.2,0.3,
61,1,44,1,9238,1,39,130,1,19,1,,9,131.9,0,0,0,1,0,1,21,0,3,6,,6,12,0,2,6,7,6,12,,13.9,-0.3,0.79
65,4,42,1,9500,1,19,133.1,1,1,1,5,5,126,1,0,0,1,1,0,,0,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,
66,1,,3,171,1,1,139,1,19,19,5,3,128.2,1,0,0,1,1,,19,0,0,0,0,0,,0,0,0,0,0,0,0,10.8,1.4,1.74
67,1,44,1,,1,39,130,1,,37,9,9,130,1,0,0,1,1,0,23,0,0,6,8,6,12.57142857,0,0,6,,6,,0,8.9,1.4,
68,1,1,3,9147,1,1,125,1,1,38,7,7,120.1,0,0,1,1,1,0,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92
71,1,17,1,9500,1,,150,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79
72,1,1,1,171,1,1,141,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,,0,,15.5,2.8,-4.06
73,1,17,4,9254,1,1,118,1,,37,5,7,111.7,,0,0,1,1,0,18,0,0,6,12,3,11.66666667,0,,6,12,,12,0,12.4,0.5,1.79
74,1,1,2,9773,1,1,,,38,,9,9,132.9,,0,0,1,,0,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74
75,1,17,3,9147,1,1,120,,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74
76,1,18,4,9254,1,1,106,1,19,37,7,,106,1,,0,1,1,1,21,0,0,6,8,,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12
77,1,17,,,1,1,121,1,1,19,9,8,120.3,1,0,1,1,,1,19,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,,1.4,3.51
78,,17,4,9500,1,1,150,1,38,37,9,9,130.8,0,,0,1,1,1,22,0,0,7,7,7,14.84285714,,0,8,9,8,15.05555556,0,16.2,0.3,-0.92
79,2,39,1,8014,,1,120,1,37,37,9,6,117,0,0,0,1,1,0,33,0,0,,8,6,12,0,0,6,6,,11.66666667,0,,,1.74
80,1,1,6,,1,1,114,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74
81,,39,1,9991,0,2,,1,3,3,2,2,155.7,1,0,0,1,1,0,,,0,,1,0,0,1,0,5,,0,0,0,10.8,,
82,1,39,1,9003,1,4,160,1,3,3,4,2,180.4,0,0,1,1,1,0,,,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79
84,2,39,1,8014,0,1,130,1,37,37,9,6,110,1,0,0,1,,0,33,0,,6,7,6,11,0,0,6,,5,11,0,9.4,-0.8,-3.12
85,1,42,1,9500,1,1,160,1,37,38,9,,161,1,0,0,1,0,1,22,0,0,8,8,7,,0,0,8,8,,13.08,0,10.8,1.4,1.74
86,1,,1,9670,1,,120,1,1,19,4,,100,0,0,0,1,0,,25,0,0,5,7,,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12
87,1,17,1,9070,1,,124,,19,38,4,0,117.6,,0,0,,1,0,20,0,0,6,9,6,10.66666667,1,,6,6,,11.2,0,7.6,2.6,
90,1,39,1,9500,1,,,1,1,1,4,10,100.8,,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,,0,13.9,-0.3,0.79
91,1,17,2,9773,1,1,133.1,41,19,1,9,9,105,1,0,0,0,0,0,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51
92,1,15,1,9130,1,1,133.1,41,,1,4,4,100,0,0,0,1,0,0,26,1,0,6,7,,12,1,0,6,6,0,0,0,,1.4,3.51
93,2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.66666667,,0,6,14,0,0,,7.6,2.6,0.32
94,2,39,1,8014,0,1,133.1,1,37,19,9,9,114,0,0,0,1,,0,44,0,,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7
96,,1,,9773,1,1,135,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.66666667,0,0,6,,6,13.33333333,0,8.9,1.4,3.51
97,1,1,5,,1,1,132,1,37,37,,7,120.3,1,0,0,1,0,1,18,0,0,,,7,13.75,0,0,,9,8,14.47777778,0,12.4,0.5,1.79
99,1,1,4,9500,1,,115,1,3,3,2,2,111.5,1,0,1,0,0,0,,,0,7,10,4,11.96,0,,7,7,0,,,13.9,-0.3,0.79
100,1,53,1,9085,1,42,130,1,,38,9,9,128.8,0,0,,1,0,0,21,0,7,10,12,8,12.875,0,4,9,,,13.4,0,8.9,1.4,3.51
101,1,1,4,171,,1,133.1,1,1,,9,10,110,1,0,0,1,0,0,20,0,0,0,0,0,0,,0,0,0,0,0,0,16.2,0.3,-0.92
102,2,39,1,8014,,1,130,1,37,37,6,,113.5,,,0,,0,0,36,0,0,6,0,0,0,0,0,6,0,,0,0,9.4,-0.8,
103,4,39,1,9003,1,12,133.1,,37,37,9,6,,0,0,0,1,0,0,,0,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,15.5,2.8,-4.06
104,,18,1,9853,,1,123,1,19,19,9,7,,1,0,0,1,0,0,19,0,0,6,,0,0,0,0,6,0,0,,0,11.1,0.6,2.02
105,,51,1,9070,1,1,130,1,3,1,2,8,122.2,0,0,1,1,0,0,20,,,10,12,10,13,0,5,11,11,11,12.27272727,0,11.1,0.6,2.02
106,1,,2,9238,,1,122,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92
107,1,1,1,9085,1,1,113,1,1,1,4,4,106.7,1,0,0,1,0,0,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06
108,1,1,5,9500,,1,111,1,3,4,4,3,108.2,,,0,1,0,0,20,0,2,7,9,6,,,0,7,,5,12.3,0,12.4,0.5,1.79
110,1,1,1,9238,1,1,142,1,37,,6,7,136.1,1,0,0,1,0,0,18,0,0,6,8,6,13.85714286,0,,6,6,6,15,0,13.9,-0.3,0.79
112,1,1,1,9085,1,1,131,1,19,19,9,9,139.8,1,0,0,,0,0,19,0,0,5,,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74
113,1,,3,9773,1,1,,1,1,,4,7,157,1,0,0,1,0,0,18,0,,6,6,6,12.66666667,0,,6,,6,12.57142857,0,10.8,1.4,1.74
114,1,17,2,9500,,1,122,1,37,37,9,9,131,1,0,0,1,0,0,,0,0,7,,6,12.51666667,1,0,,7,6,,1,7.6,2.6,0.32
118,,1,2,,,1,140,,37,38,9,7,137,0,0,0,,0,,18,0,0,5,12,5,13.14285714,2,0,5,6,5,,0,9.4,-0.8,-3.12
119,1,1,1,9147,1,1,127,1,2,19,,5,121.8,0,0,0,1,0,,18,0,0,,5,5,12.6,0,0,5,,5,,0,11.1,0.6,2.02
120,1,17,,,1,1,133.1,1,1,1,4,,131,1,0,,1,0,0,21,0,0,6,12,3,11,,0,6,12,2,11,0,9.4,-0.8,-3.12
121,1,1,2,9147,1,1,120,1,19,19,9,7,118.6,1,0,0,1,0,0,19,0,0,5,8,5,10.8,0,0,,9,4,11.25,2,16.2,0.3,-0.92
122,1,1,1,171,1,1,137,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74
123,1,1,1,9670,1,1,131,1,38,38,9,9,127.9,0,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,,5,5,14.2,,9.4,-0.8,-3.12
124,1,1,1,9085,1,1,130,1,19,38,4,7,121.3,1,0,0,1,0,0,19,0,,6,15,6,14.16666667,0,0,,13,6,12.2,0,15.5,2.8,-4.06
125,,17,6,9556,,1,122,1,1,1,4,5,117.1,1,0,0,1,0,0,19,0,0,7,12,,12.1,0,0,7,0,0,0,0,13.9,-0.3,0.79
126,1,44,1,9085,1,,160,1,37,37,9,9,160,,0,0,1,,0,20,0,1,6,7,6,14.16666667,0,1,6,17,5,13.77777778,0,12.4,0.5,1.79
128,1,17,3,9238,1,,131,1,1,,5,,122.6,1,0,0,1,0,0,18,0,0,6,7,6,13,0,0,6,6,6,13.66666667,,12.4,0.5,1.79
129,1,17,6,9500,,1,132,1,,37,8,9,128,1,0,0,1,0,0,19,0,,7,7,7,13.46714286,0,0,8,9,8,15.01111111,0,12.4,0.5,1.79
130,1,1,3,9500,1,,138,1,19,19,5,,124.9,,0,0,1,0,,,0,0,7,9,,13.2375,0,0,8,9,7,13.74285714,0,13.9,-0.3,0.79
131,1,17,2,9070,1,1,130,1,37,37,9,9,123.7,1,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,6,6,13,0,7.6,2.6,0.32
132,1,1,,9147,1,1,126,1,1,19,4,8,120.1,,0,0,1,0,,,0,0,5,7,5,,0,0,5,5,,14.6,0,8.9,1.4,3.51
133,1,17,6,9500,1,1,,1,1,,,3,131.7,1,0,0,1,0,0,19,0,0,7,8,5,14,0,,7,,0,0,0,13.9,-0.3,0.79
134,1,43,1,,1,1,130,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,5,9,,9,,0,2,7,8,7,11.71428571,0,7.6,2.6,0.32
135,1,1,1,9670,1,1,117,1,1,38,3,9,109.3,0,0,1,0,0,1,19,0,0,,,5,12,,0,6,9,4,12.5,,,0.5,1.79
136,,,1,9670,1,1,,1,19,19,5,5,113,1,,0,1,0,0,20,0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,7.6,2.6,
137,1,1,1,9773,1,1,,1,1,1,141,175,157.9,,0,1,1,0,1,18,0,0,6,6,6,14.83333333,0,0,6,6,6,14.83333333,0,,1.4,
139,,18,1,9500,1,1,178,1,,1,4,8,174.7,0,0,0,1,0,0,18,0,0,7,8,7,17.125,0,0,8,,8,17.5875,0,13.9,-0.3,0.79
140,1,1,5,9500,,1,129,1,,37,9,9,,1,0,0,1,0,0,19,0,0,7,7,6,12.66666667,0,0,7,7,6,12.66666667,0,7.6,2.6,0.32
141,1,1,6,9773,,1,116,1,19,1,4,4,110.1,1,0,,1,0,1,19,0,0,6,8,6,12.66666667,0,0,6,10,5,12,0,12.4,0.5,1.79
143,1,1,3,9238,1,1,135,1,1,12,9,10,,,0,0,1,0,1,19,0,0,6,7,6,11.33333333,0,0,6,6,6,11.5,0,12.4,0.5,1.79
144,1,1,3,,1,1,141,,19,19,9,7,131.7,,0,0,1,0,1,19,0,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,15.5,2.8,
145,1,17,,9853,1,1,132,1,37,38,5,6,119.1,1,0,0,1,0,1,19,0,0,6,10,5,,0,0,6,9,5,10.8,0,9.4,-0.8,
146,1,1,4,9254,1,1,132,1,12,19,9,9,124.7,1,0,0,1,0,0,,0,0,5,10,0,0,0,0,5,10,,0,0,7.6,2.6,0.32
147,1,17,1,9254,1,1,113,1,1,37,9,10,117.2,1,0,0,1,0,0,20,0,0,6,8,5,11.2,0,0,6,12,3,11.66666667,0,7.6,2.6,0.32
148,1,1,1,9147,,1,134,1,3,19,2,,128.8,0,0,0,1,0,0,18,0,,5,10,5,13.375,0,0,5,9,5,14.16666667,0,13.9,,
149,1,1,1,9500,1,1,136,1,1,19,,9,131.5,0,0,0,,,1,20,,0,7,8,6,13.86333333,0,0,8,9,7,14.17857143,0,11.1,0.6,2.02
151,1,1,,9085,1,1,129,1,1,,4,7,123.4,0,0,0,,0,0,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,,0.32
153,1,1,1,9853,1,1,137,1,37,37,9,9,,1,0,0,1,0,0,18,0,0,6,7,6,13.33333333,0,0,,8,5,11.8,0,7.6,2.6,0.32
154,1,43,1,9853,1,1,115,1,3,37,2,5,108.7,1,0,,1,0,0,21,0,0,6,,3,,0,,6,12,3,10,0,9.4,,-3.12
155,1,,,9853,1,1,129,1,,37,6,,138.1,0,0,0,1,0,0,19,0,0,6,8,6,,0,0,6,10,4,11.5,0,7.6,2.6,0.32
156,,1,1,9147,1,1,,1,38,38,9,,,,0,0,,0,1,18,0,0,5,5,5,,0,0,5,5,5,11.8,0,12.4,,1.79
157,1,17,2,9238,1,1,133,1,1,37,7,9,127.4,,0,0,1,0,1,18,0,0,6,8,,12.25,0,0,6,7,6,11.85714286,0,12.7,3.7,-1.7
158,1,1,3,9238,1,1,125,1,,1,9,10,123.6,1,0,0,1,0,0,20,0,0,6,10,4,11,,0,6,9,,11.83333333,0,9.4,,-3.12
159,1,,,,0,1,120,1,1,,6,8,122,0,0,0,1,0,1,24,0,0,6,11,5,11,0,0,6,9,5,,0,11.1,0.6,2.02
160,1,1,1,,1,1,128,,19,1,4,1,118.2,0,0,0,1,0,0,,0,0,,6,6,13.16666667,0,0,6,9,6,13,0,,1.4,1.74
161,1,1,1,9500,1,1,127,1,19,37,9,7,123.9,,0,0,1,0,,18,0,0,7,9,7,12.85555556,0,,8,12,7,12.76111111,0,15.5,2.8,-4.06
162,1,1,2,9500,1,,134,1,19,,9,9,125.8,1,0,0,1,,0,18,0,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06
163,1,17,5,9853,,1,132,1,12,12,4,4,123.3,1,0,0,1,0,0,21,0,0,6,13,4,11.5,0,0,6,10,3,11,0,10.8,,1.74
164,1,17,2,9670,1,1,124,1,1,19,5,4,124.4,0,0,0,1,,0,19,0,0,5,,5,14.2,0,0,5,5,5,,0,7.6,2.6,0.32
165,1,17,1,9773,1,1,133.1,1,19,37,7,7,126,0,0,0,1,0,1,19,0,0,6,6,6,,,0,,7,6,13,0,15.5,2.8,-4.06
167,1,17,3,9238,1,1,125,1,19,19,7,8,121.5,0,0,0,1,0,,19,0,0,6,10,5,11.66666667,0,0,6,12,4,11,0,13.9,-0.3,0.79
168,1,39,1,9500,1,3,130,1,2,2,1,1,130,0,0,0,1,0,0,29,0,1,8,8,7,14.25714286,0,1,8,8,7,14.25714286,0,12.7,3.7,-1.7
169,1,43,1,9238,1,1,125,1,19,19,4,8,117,1,0,0,1,0,0,21,0,0,6,13,3,12,0,0,6,12,,11.33333333,0,16.2,0.3,-0.92
171,1,17,2,9556,1,1,133.1,1,37,,3,,108,0,0,0,1,0,0,20,0,0,7,8,7,12.45714286,0,0,8,8,,13.5625,0,15.5,2.8,-4.06
172,,17,1,9500,1,1,131,1,2,38,4,5,132.3,1,0,0,1,0,0,19,0,0,7,7,6,11.68333333,0,0,7,7,6,11.68333333,0,7.6,2.6,0.32
173,1,42,1,8014,0,1,150,1,19,2,4,6,148,0,0,0,1,0,0,26,0,0,6,10,3,11.66666667,0,0,6,8,5,,,9.4,-0.8,-3.12
174,,17,2,9254,1,1,125,1,37,37,9,8,122.6,1,0,1,,0,0,20,0,0,6,8,4,11.75,0,0,6,6,6,13.16666667,0,11.1,,2.02
176,,39,1,9853,,1,130,1,37,19,9,5,102.5,0,0,0,1,0,0,27,,0,,,,13.2,0,0,6,10,5,12,0,7.6,2.6,0.32
177,1,1,2,,1,1,123,1,34,34,90,90,113.3,1,0,0,1,0,0,20,0,0,7,8,4,11.95,0,,7,8,4,11.95,0,7.6,2.6,0.32
178,1,1,5,9853,,1,141,1,37,19,9,5,133,1,0,0,,0,0,18,0,,6,8,5,12.4,0,0,6,12,5,10.4,0,9.4,-0.8,-3.12
179,1,7,1,9500,1,3,,1,1,1,9,,140,0,0,0,1,0,0,33,0,2,7,,6,14.35,0,3,8,10,6,14.58333333,,16.2,0.3,-0.92
180,1,43,1,9853,1,1,140,1,3,1,3,,128.3,1,0,0,1,0,0,35,0,19,21,21,21,12.61904762,0,13,19,19,19,12.78947368,0,12.4,0.5,1.79
182,1,39,1,9773,1,,133.1,1,19,19,,4,104,0,,1,0,0,0,27,0,0,6,6,5,12,0,0,6,6,0,0,0,11.1,0.6,2.02
183,1,18,3,9070,1,1,131,1,1,37,5,5,122.3,1,0,0,0,0,0,19,0,0,6,6,6,12.16666667,0,0,6,,0,0,0,15.5,2.8,-4.06
184,1,17,2,9254,1,,143,1,1,,4,6,,0,0,0,1,0,0,20,0,,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02
185,1,18,2,9147,1,1,132,1,3,3,5,7,119.1,1,0,1,0,0,0,20,0,0,5,9,3,10,0,0,5,9,3,10.57142857,0,10.8,1.4,1.74
187,1,17,3,9500,1,1,141,1,38,1,,4,129,1,0,0,1,0,1,,0,0,7,7,6,13.05,0,,7,7,,13.05,0,7.6,,0.32
188,1,,1,9085,1,1,133.1,1,1,,9,9,162.3,1,0,0,1,0,0,24,0,0,,10,2,11,0,0,,6,0,0,0,8.9,,3.51
189,1,17,4,9070,1,1,148,1,1,3,,1,163.4,1,0,0,1,0,0,20,0,,6,7,6,11.5,0,0,6,6,6,12,0,16.2,0.3,-0.92
190,1,1,1,,1,1,125,1,19,38,9,8,,,0,,1,0,1,21,0,,6,7,,12,0,0,6,6,6,12.5,0,13.9,-0.3,0.79
192,,39,,9147,1,1,140,1,,3,4,3,118,1,0,0,1,0,,24,0,,5,5,,0,0,0,5,5,0,0,0,7.6,2.6,0.32
193,,,1,9853,1,1,139,1,1,1,,10,,0,0,,1,0,0,21,0,0,6,0,0,0,0,,6,0,0,0,0,12.4,0.5,1.79
194,1,1,4,9500,1,1,142,,38,38,9,8,129.8,1,0,0,1,0,0,18,0,0,8,8,,12.24285714,0,0,8,8,7,12.24285714,0,12.7,3.7,
195,1,39,1,9991,0,40,130,1,19,1,,4,152,1,0,0,1,0,0,27,0,0,5,0,,0,0,0,5,0,0,0,0,,,3.51
196,1,18,6,9500,1,1,126,1,37,37,5,5,122.8,1,0,0,1,0,0,18,0,0,8,8,8,12.93375,,0,8,8,,12.93375,0,,-0.8,-3.12
197,1,7,1,9119,1,3,150,1,3,2,2,2,150,0,0,0,1,0,0,35,0,0,5,0,0,,0,0,5,0,0,0,0,13.9,,0.79
198,1,1,1,9853,1,1,130,1,19,19,3,8,131.8,0,0,0,,0,0,18,0,0,,9,7,12.57142857,0,,7,8,7,14.42857143,0,11.1,0.6,2.02
